queue_key,service_type,group,slug,entity_type,entity_tier,priority_tier,high_impact,entity_cohort,release_cohort,release_title,release_date,release_year,stream,release_kind,gap_status,confidence_bucket,current_status,current_url,provenance,attempted_methods_count,review_reason,recommended_action,suggested_search_query,missing_mv_allowlist,mv_allowlist_urls
0f9b4a68-5b21-554f-bc5e-11c41291becf:youtube_mv,youtube_mv,tripleS,triples,group,core,tier_1,true,latest,latest,トキメティック,2026-02-05,2026,song,single,unresolved,low_confidence_gap,unresolved,,releaseDetails.no_mv_signal,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,tripleS トキメティック official mv,false,https://www.youtube.com/channel/UCJnL-TBcsYrF2SLs7tmiC8Q
f8f95da5-91f9-53f5-bef1-fa14153369f3:youtube_mv,youtube_mv,KickFlip,kickflip,group,core,tier_1,true,latest,latest,"From KickFlip, To WeFlip",2026-01-20,2026,song,single,unresolved,low_confidence_gap,unresolved,,releaseDetails.no_mv_signal,7,"No dependable title-track metadata is attached yet, so MV verification falls back to the release title.",team/label YouTube allowlist를 먼저 보강한 뒤 canonical MV를 다시 검토합니다.,"KickFlip From KickFlip, To WeFlip official mv",true,
7006b390-9d70-5585-b576-ba80cb735742:youtube_mv,youtube_mv,EXO,exo,group,core,tier_1,true,latest,latest,REVERXE,2026-01-19,2026,album,album,unresolved,low_confidence_gap,unresolved,,releaseDetails.no_mv_signal,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,EXO I’m Home official mv,false,https://www.youtube.com/channel/UCzCedBCSSltI1TFd3bKyN6g | https://www.youtube.com/@SMTOWN
3718723d-a56c-5daf-9217-6a5a2ce50fd9:youtube_mv,youtube_mv,NCT WISH,nct-wish,unit,core,tier_1,true,latest,latest,WISHLIST,2026-01-14,2026,album,ep,unresolved,low_confidence_gap,unresolved,,releaseDetails.no_mv_signal,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,NCT WISH Dreamcatcher official mv,false,https://www.youtube.com/@SMTOWN
f6c76435-6bd7-5123-be1f-48ce40db6d2e:youtube_mv,youtube_mv,YOUNG POSSE,young-posse,group,longtail,tier_1,true,latest,latest,LOSE YOUR SHXT ('Hearts' Series Vol. 3),2026-01-10,2026,song,single,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,No official team or label YouTube source is registered yet for this release.,team/label YouTube allowlist를 먼저 보강한 뒤 canonical MV를 다시 검토합니다.,YOUNG POSSE LOSE YOUR SHXT official mv,true,
8659282e-bde9-5b1f-9044-9d53573e32f2:youtube_mv,youtube_mv,UNIS,unis,group,core,tier_1,true,latest,latest,幸せになんかならないでね,2025-12-17,2025,song,single,unresolved,low_confidence_gap,unresolved,,releaseDetails.no_mv_signal,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,UNIS 幸せになんかならないでね official mv,false,https://www.youtube.com/channel/UCspnElmzSLPhrZJDG9v7JWw
081f3051-f00a-5607-8376-0c7290106b49:youtube_mv,youtube_mv,THE BOYZ,the-boyz,group,core,tier_1,true,latest,latest,Still Love You,2025-12-06,2025,song,single,unresolved,low_confidence_gap,unresolved,,releaseDetails.no_mv_signal,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,THE BOYZ Still Love You official mv,false,https://www.youtube.com/channel/UCkJ1rbOrsyPfBuHNfnLPm-Q
0363f526-e841-560d-940d-541a4e536e4e:youtube_mv,youtube_mv,YENA,yena,solo,unknown,tier_1,true,latest,latest,STAR!,2025-11-26,2025,song,single,unresolved,low_confidence_gap,unresolved,,,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,YENA STAR! official mv,false,https://www.youtube.com/@yena_official
150ae4c7-0b61-536c-84c5-bc3372e02fe4:youtube_mv,youtube_mv,RESCENE,rescene,group,core,tier_1,true,latest,latest,lip bomb,2025-11-25,2025,album,ep,unresolved,low_confidence_gap,unresolved,,releaseDetails.no_mv_signal,7,No official team or label YouTube source is registered yet for this release.,team/label YouTube allowlist를 먼저 보강한 뒤 canonical MV를 다시 검토합니다.,RESCENE Heart Drop official mv,true,
58eb7c9f-2b3d-5c5a-878b-8f330202567d:youtube_mv,youtube_mv,RIIZE,riize,group,core,tier_1,true,latest,latest,Fame,2025-11-24,2025,song,single,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,RIIZE Fame official mv,false,https://www.youtube.com/channel/UCdVD0MsYecQaIE5Ru-pOIQQ | https://www.youtube.com/@SMTOWN
b3c07c8b-d061-5b8f-9003-8d4f9a0812ef:youtube_mv,youtube_mv,tripleS,triples,group,core,tier_1,true,latest,latest,msnz <Beyond Beauty>,2025-11-24,2025,album,ep,unresolved,low_confidence_gap,unresolved,,releaseDetails.no_mv_signal,7,"No dependable title-track metadata is attached yet, so MV verification falls back to the release title.",allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,tripleS msnz <Beyond Beauty> official mv,false,https://www.youtube.com/channel/UCJnL-TBcsYrF2SLs7tmiC8Q
3f5b6e89-0411-5e45-8561-0c1131c7f60a:youtube_mv,youtube_mv,aespa,aespa,group,core,tier_1,true,latest,latest,SYNK : aeXIS LINE,2025-11-17,2025,song,single,unresolved,low_confidence_gap,unresolved,,releaseDetails.no_mv_signal,7,"No dependable title-track metadata is attached yet, so MV verification falls back to the release title.",allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,aespa SYNK : aeXIS LINE official mv,false,https://www.youtube.com/channel/UC9GtSLeksfK4yuJ_g1lgQbg | https://www.youtube.com/@SMTOWN
a472b496-9536-50b4-98ac-0a193859ca60:youtube_mv,youtube_mv,ATEEZ,ateez,group,core,tier_1,true,latest,latest,Choose,2025-11-17,2025,song,single,unresolved,low_confidence_gap,unresolved,,releaseDetails.no_mv_signal,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,ATEEZ Choose official mv,false,https://www.youtube.com/channel/UC2e4Ukj5Pfr7cb3KpJAFBdQ
113d7d34-6ed2-52a1-bee4-d0196435df7a:youtube_mv,youtube_mv,MONSTA X,monsta-x,group,core,tier_1,true,latest,latest,baby blue,2025-11-14,2025,song,single,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,MONSTA X baby blue official mv,false,https://www.youtube.com/channel/UCZvCP6sWj75MwpUP4LVtpNw | https://www.youtube.com/@officialstarship
4fbbc412-9fdf-5d82-9807-38f2132d336e:youtube_mv,youtube_mv,THE BOYZ,the-boyz,group,core,tier_1,true,latest,latest,Tiger,2025-11-11,2025,song,single,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,THE BOYZ Tiger official mv,false,https://www.youtube.com/channel/UCkJ1rbOrsyPfBuHNfnLPm-Q
5e1dd90c-256c-5a35-b911-56f1ed08b0c8:youtube_mv,youtube_mv,NCT WISH,nct-wish,unit,core,tier_1,true,latest,latest,Dreamcatcher,2025-11-06,2025,song,single,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,NCT WISH Dreamcatcher official mv,false,https://www.youtube.com/@SMTOWN
feaa7d7b-778b-5e1f-b348-c4e242684264:youtube_mv,youtube_mv,Stray Kids,stray-kids,group,core,tier_1,true,latest,latest,In The Dark,2025-11-06,2025,song,single,unresolved,low_confidence_gap,unresolved,,releaseDetails.no_mv_signal,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,Stray Kids In The Dark official mv,false,https://www.youtube.com/channel/UC9rMiEjNaCSsebs31MRDCRA | https://www.youtube.com/@JYPEntertainment
37b6f313-c686-5e30-a467-3bc5350a4ee8:youtube_mv,youtube_mv,KiiiKiii,kiiikiii,group,core,tier_1,true,latest,latest,To Me From Me,2025-11-04,2025,song,single,unresolved,low_confidence_gap,unresolved,,releaseDetails.no_mv_signal,7,No official team or label YouTube source is registered yet for this release.,team/label YouTube allowlist를 먼저 보강한 뒤 canonical MV를 다시 검토합니다.,KiiiKiii To Me From Me official mv,true,
