queue_key,group,slug,entity_type,entity_tier,priority_tier,high_impact,entity_cohort,release_cohort,release_title,release_date,release_year,stream,release_kind,title_track_status,candidate_title_count,double_title_candidate,track_titles,candidate_titles,candidate_sources,review_reason,recommended_action
a7c48c10-c995-5525-993a-5273498b015a,DAY6,day6,group,core,tier_1,true,latest,latest,The DECADE,2025-09-05,2025,album,album,review_needed,0,false,꿈의 버스 | INSIDE OUT | 해야 뜨지 말아 줘 | Disco Day | My Way | 별들 앞에서 | Take All My Heart | 날아라! 드림라이더 | 드디어 끝나갑니다 | 우리의 계절,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
27cb6e36-fc39-5d02-b7b0-7c020ab4772d,MONSTA X,monsta-x,group,core,tier_1,true,latest,latest,THE X,2025-09-01,2025,album,ep,review_needed,0,false,Do What I Want | N the Front | Savior | Tuscan Leather | Catch Me Now | Fire & Ice,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
da1088fc-05d4-5ad3-9eea-daf3e549cde3,TREASURE,treasure,group,core,tier_1,true,latest,latest,LOVE PULSE,2025-09-01,2025,album,ep,review_needed,0,false,EVERYTHING | PARADISE | NOW FOREVER | BETTER THAN ME,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
343baa91-cc7d-5400-91cf-e56bd174d287,IVE,ive,group,core,tier_1,true,latest,latest,IVE SECRET,2025-08-25,2025,album,ep,review_needed,0,false,"XOXZ | Wild Bird | Dear, My Feelings | GOTCHA (Baddest Eros) | 삐빅 (♥beats) | Midnight Kiss",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
3d74dbf0-3b39-5d76-96cf-442e62882efc,Stray Kids,stray-kids,group,core,tier_1,true,latest,latest,KARMA,2025-08-22,2025,album,album,review_needed,0,false,BLEEP | CEREMONY | CREED | MESS | In My Head | Half Time | Phoenix | GHOST | 0801 | CEREMONY (Festival version) | CEREMONY (English version),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
46e7661c-db5d-5604-aa94-728c8b0122ee,BOYNEXTDOOR,boynextdoor,group,core,tier_1,true,latest,latest,BOYLIFE,2025-08-20,2025,song,single,review_needed,0,false,Count To Love | I Feel Good (Japanese Ver.) | Nice Guy (Japanese Ver.) | Dangerous (Japanese Ver.),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
625731d5-8e08-55a6-8f1f-435d27a09021,YOUNG POSSE,young-posse,group,longtail,tier_1,true,latest,latest,Growing Pain pt.1 : FREE,2025-08-14,2025,album,ep,review_needed,0,false,"YSSR | FREESTYLE | ADHD | School’s Out | MON3Y 8ANK | soju | Same Shit, Another One",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
fa0735f5-3591-5b48-b2c4-3d7825ff0d57,EVNNE,evnne,group,core,tier_1,true,latest,latest,LOVE ANECDOTE(S),2025-08-04,2025,album,ep,review_needed,0,false,dirtybop | How Can I Do | Mako | love chat | PUT IT ON ME | Newest,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
801052f3-72e8-5b48-b401-1b0aec55a955,YENA,yena,solo,unknown,tier_1,true,latest,latest,Blooming Wings,2025-07-29,2025,album,ep,review_needed,0,false,"Drama Queen | 착하다는 말이 제일 싫어 | 안녕 (Hello, Goodbye) | 너만 아니면 돼 | 364",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
fdba5937-6de2-58d2-b375-6ee685aed6fb,THE BOYZ,the-boyz,group,core,tier_1,true,latest,latest,a;effect,2025-07-28,2025,album,ep,review_needed,0,false,"Stylish | Talk | You and I | 함께라서 눈부셨던, 서툴지만 아름다운 (Constellation) | AURA",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
ac0b7f50-d96d-5d28-8ef9-03c032577cfc,TOMORROW X TOGETHER,tomorrow-x-together,group,core,tier_1,true,latest,latest,The Star Chapter: TOGETHER,2025-07-21,2025,album,album,review_needed,0,false,Upside Down Kiss | Beautiful Strangers | Ghost Girl | Sunday Driver | Dance With You | Take My Half | Bird of Night | Song of the Stars,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
40006299-e74f-5b9e-9174-36fa3fe552b3,ifeye,ifeye,group,core,tier_1,true,latest,latest,sweet tang,2025-07-16,2025,album,ep,review_needed,0,false,loverboy | friend like me | round and round | ifeye (interlude) | r u ok? | say moo! | echo,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
ec276b8f-831a-58fb-b63e-f4a494f6a37b,NCT DREAM,nct-dream,unit,core,tier_1,true,latest,latest,Go Back to the Future,2025-07-14,2025,album,album,review_needed,0,false,BTTF | CHILLER | I LIKE IT | DREAM TEAM | Interlude : Back to Our Paradise | ’Bout You | That Summer | Miss Me | Beautiful Sailing,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
4cbb567a-cd6a-57ca-ac4b-c0eca6b23a12,VIVIZ,viviz,unit,core,tier_1,true,latest,latest,A Montage of ( ),2025-07-08,2025,album,album,review_needed,0,false,La La Love Me | Hands Off My Heart | Citrus | Sticker | Toxic | Hipnotic | Love Language | Milky Way | Wildflower,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
eb604195-c2ce-5424-8464-0b4bb9b7c5b0,KARD,kard,group,core,tier_1,true,latest,latest,DRIFT,2025-07-02,2025,album,ep,review_needed,0,false,BETCHA | Touch | Before We Go | Top Down | Pivot | Touch (instrumental) | Pivot (instrumental),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
81dc89fe-f563-5396-9108-c063c683f27a,RESCENE,rescene,group,core,tier_1,true,latest,latest,Dearest,2025-07-02,2025,song,single,review_needed,0,false,Deja Vu | Mood,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
ca89e82d-b629-58d0-ba1e-e76890c07615,H1-KEY,h1-key,group,longtail,tier_1,true,latest,latest,Lovestruck,2025-06-26,2025,album,ep,review_needed,0,false,"Good for U | Summer Was You | One, Two, Three, Four | Let Me Be Your Sea | Summer Was You (instrumental)",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
98108980-808f-53f9-9091-60a5fbac5504,fromis_9,fromis-9,group,core,tier_1,true,latest,latest,From Our 20’s,2025-06-25,2025,album,ep,review_needed,0,false,LIKE YOU BETTER | REBELUTIONAL | Love=Disaster | Strawberry Mimosa | Twisted Love | Merry Go Round,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
0cb1c718-c41a-5bb1-9d90-b6aeb2914f00,CRAVITY,cravity,group,core,tier_1,true,latest,latest,Dare to Crave,2025-06-23,2025,album,album,review_needed,0,false,"On My Way | SWISH | SET NET G0?! | Rendez‐vous | PARANOIA | Straight Up to Heaven (Sung by JUNGMO, WOOBIN, SEONGMIN) | Stadium (Sung by ALLEN, WONJIN, HYEONGJUN) | Marionette (Sung by SERIM, MINHEE, TAEYOUNG) | Underdog | Click, Flash, Pow | Love Me Again | Wish Upon a Star",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
df363a96-6c7e-5e38-8f05-a2f8a970ca19,ATEEZ,ateez,group,core,tier_1,true,latest,latest,GOLDEN HOUR : Part.3,2025-06-13,2025,album,ep,review_needed,0,false,Lemon Drop | Masterpiece | Now this house ain't a home | Castle | Bridge : The Edge of Reality,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
b39ac76f-4ac3-5486-bce5-ac4a77b71db8,KISS OF LIFE,kiss-of-life,group,core,tier_1,true,latest,latest,224,2025-06-09,2025,album,ep,review_needed,0,false,Lips Hips Kiss | Tell Me | k bye | Painting | Slide | Heart of Gold | Think Twice,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
