group,release_title,release_date,stream,release_kind,track_titles,candidate_titles,candidate_sources,review_reason,recommended_action
ATBO,The Beginning : 飛上,2023-05-18,album,ep,BOUNCE ; Next to Me ; Just Dance ; Love Me ; Good Thing ; Just for Us,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
ATEEZ,GOLDEN HOUR : Part.2,2024-11-15,album,ep,DEEP DIVE ; Scene 1 : Value ; Ice on My Teeth ; Man on Fire ; Selfish Waltz ; Enough,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
ATEEZ,GOLDEN HOUR : Part.3,2025-06-13,album,ep,Lemon Drop ; Masterpiece ; Now this house ain't a home ; Castle ; Bridge : The Edge of Reality,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
ATEEZ,Ashes to Light,2025-09-17,album,album,Ash ; 12 Midnight ; Tippy Toes ; FACE ; Crescendo ; NOT OKAY ; Days ; Birthday ; Forevermore,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
BADVILLAIN,OVERSTEP,2024-06-03,song,single,BADVILLAIN ; 야호 (BADTITUDE) ; +82,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
BAE173,NEW CHAPTER : LUCEAT,2024-03-13,album,ep,Fifty‐Fifty ; CRIMSON ; You,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
BAE173,NEW CHAPTER : DESEAR,2025-10-14,album,ep,Turned Up ; Snap ; BLACKOUT ; WHAT ; NOBODY ; BAE (Before Anyone Else),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
BLITZERS,LUNCH‐BOX,2024-06-19,album,ep,Race Up ; SUPERPOWER ; RING RING ; FXXXIN SPRING ; SUPERPOWER (Eng ver.) ; Macarena (Eng ver.),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
BOYNEXTDOOR,WHO!,2023-05-30,song,single,But I Like You ; One and Only ; Serenade,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
BOYNEXTDOOR,WHY..,2023-09-04,album,ep,But I Like You ; One and Only ; Serenade ; Crying ; But Sometimes ; ABCDLOVE,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
BOYNEXTDOOR,HOW?,2024-04-15,album,ep,"OUR ; Amnesia ; So let’s go see the stars ; Earth, Wind & Fire ; l i f e i s c o o l ; Dear. My Darling ; Earth, Wind & Fire (English ver.)",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
BOYNEXTDOOR,"AND,",2024-07-09,song,single,"One and Only (Japanese Ver.) ; Earth, Wind & Fire (Japanese Ver.) ; But Sometimes (Japanese Ver.) ; GOOD DAY",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
BOYNEXTDOOR,No Genre,2025-05-13,album,ep,"123-78 ; I Feel Good ; Step By Step ; Is That True? ; Next Mistake ; IF I SAY, I LOVE YOU ; I Feel Good (English ver.)",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
BOYNEXTDOOR,BOYLIFE,2025-08-20,song,single,Count To Love ; I Feel Good (Japanese Ver.) ; Nice Guy (Japanese Ver.) ; Dangerous (Japanese Ver.),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
BOYNEXTDOOR,The Action,2025-10-20,album,ep,Live In Paris ; Hollywood Action ; JAM! ; Bathroom ; As Time Goes By,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
BTOB,Wind and Wish,2023-05-02,album,ep,나의 바람 (Wind And Wish) ; Heaven ; Day&Night ; Moon Ride ; Your Love,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
CHUNG HA,Christmas Promises,2024-12-03,song,single,Sleigh ; There Goes Santa Claus!,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
CHUNG HA,Alivio,2025-02-12,album,ep,Creepin’ ; Salty ; Loyal ; STRESS ; Beat of My Heart ; Even Steven (Happy Ending) ; Thanks for the Memories ; Still a Rose,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
cignature,그해 여름의 우리 (Us in the Summer),2023-08-29,album,ep,"어젯밤 이야기 (Mess With My Mind) ; 안녕, 인사해 (Smooth Sailing) ; Sorry So Sorry ; Little Me",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
cignature,Sweetie but Saltie,2024-06-10,album,ep,I Like I Like ; Poongdung ; Melody ; I Like I Like (Eng ver.),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
CIX,OK Episode 2 : I’m OK,2023-05-29,album,ep,"Back to life ; Save me, Kill me ; Curtain Call ; Color",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
CIX,0 or 1,2024-01-24,song,single,Lovers or Enemies ; My name is shadow,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
CIX,GO Chapter 1: GO Together,2025-09-08,album,ep,S.O.S ; WONDER YOU ; UPSTANDER ; IN MY DREAMS,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
CLASS:y,LOVE XX,2024-11-15,album,ep,Psycho and Beautiful ; Love Game ; Psycho and Beautiful (inst) ; Love Game (inst),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
